DefaultSC.A1ModJulian     DefaultSC.Earth.Altitude   DefaultSC.Earth.ECC       DefaultSC.Earth.RadApo    DefaultSC.Earth.RadPer    DefaultSC.Earth.Latitude   
58127.00000039794         421.8657374848162          2.424327772937843e-16     6800.000000000001         6799.999999999997         0.561519091955723          
58127.0004926336          421.9226298221611          6.978806967588563e-05     6800.3777752722           6799.428671032347         3.295488248077893          
58127.00078363221         421.990931076698           0.0001118448958623634     6800.566177112305         6799.045130001892         4.911604304697253          
58127.00115957539         422.116827688048           0.0001672254654265368     6800.77273120155          6798.498586725947         6.999204017105636          
58127.00151651538         422.2749956425178          0.0002210305720881649     6800.931931426382         6797.926168040911         8.980891356600836          
58127.00189531314         422.4830306826161          0.0002795581529536358     6801.063362802337         6797.261840125344         11.0833953545352           
58127.00225286355         422.7162340086916          0.0003362360188953663     6801.153677163225         6796.581628777963         13.06734778890266          
58127.00258890351         422.9668704646101          0.0003908188307051311     6801.210158619443         6795.896153429595         14.93129719905399          
58127.00285719516         423.1880487855897          0.0004353239713526497     6801.236409254847         6795.317503408876         16.41894672137213          
58127.00309960542         423.4033751644083          0.0004762413123552514     6801.24634564441          6794.771360329311         17.76265234649708          
58127.00332126299         423.6126634232933          0.0005142339589433282     6801.244410067119         6794.253143536325         18.99093160201536          
58127.00354833486         423.8388749298065          0.0005537145899734131     6801.231906506424         6793.704192038902         20.24879561959583          
58127.00375345279         424.0530853325136          0.0005898506749167207     6801.211780728229         6793.193111827265         21.38465772074627          
58127.00398367662         424.3041847946106          0.0006309227338096811     6801.179571231171         6792.60294480334          22.65907888190571          
58127.00420776658         424.558916882218           0.0006713956804759085     6801.138810568224         6792.012427542901         23.89904108602697          
58127.00444316887         424.8368784025261          0.0007144042035307482     6801.086392650715         6791.375880466466         25.20102824315868          
58127.00466384838         425.1065358730193          0.000755145857701422      6801.028679998472         6790.764893382801         26.42102325808459          
58127.00483748427         425.32451576119            0.0007874654801510066     6800.97766153264          6790.275019214542         27.38054146467694          
58127.00500947062         425.5451692004672          0.0008196855329314129     6800.922430372133         6789.782326300747         28.33057798369739          
58127.00519527202         425.7885333358008          0.0008547020887990541     6800.857687883344         6789.242201121225         29.35650003876324          
58127.00536783523         426.0188937517269          0.0008873942912247463     6800.793001371443         6788.733732926981         30.30891114562371          
58127.00553539945         426.2462947513486          0.0009192741460913025     6800.726137388369         6788.234157517002         31.23333337885263          
58127.00577438956         426.5764195624261          0.0009649283038959294     6800.624140492435         6787.512562790231         32.55108872514593          
58127.00599639233         426.8885518466223          0.00100747905756667       6800.52271975274          6786.833742669156         33.77439192632593          
58127.00623746286         427.2326841195491          0.001053770805799362      6800.405683008428         6786.08863194617          35.10185821032878          
58127.00645552759         427.5479424749219          0.001095660203612809      6800.29394439423          6785.408630744531         36.30178451440338          
58127.00672118431         427.9361433830945          0.001146623357829157      6800.150718332566         6784.574155482566         37.76242560980433          
58127.00696692001         428.298331111062           0.001193608028949476      6800.011710610008         6783.797966315908         39.11232776340884          
58127.00719605746         428.6378935858138          0.001237201878072727      6799.876811798458         6783.071962065668         40.36993851062461          
58127.00744978832         429.0150310249874          0.001285137524878782      6799.721889844172         6782.267166045956         41.7611979517917           
58127.00766749862         429.3388134830593          0.001325909539473491      6799.584635793615         6781.57724370046          42.95376464951638          
58127.00788071262         429.6554065113223          0.001365450951063393      6799.446620580164         6780.903318839608         44.12057495158378          
58127.00808907408         429.9637172774437          0.001403659876384495      6799.308552419619         6780.247474485537         45.25968781882953          
58127.00826067481         430.2164237102406          0.001434764180549026      6799.192638541562         6779.71011525925          46.19693326171633          
58127.0084377469          430.4756779322051          0.001466478081203635      6799.071087319204         6779.158910645646         47.16316605986982          
58127.00862902248         430.7536039557554          0.001500257673732883      6798.937730582777         6778.567973460135         48.20582388490639          
58127.00882515297         431.035844019777           0.001534331471921101      6798.798950881262         6777.967690536406         49.27371201797799          
58127.00901055579         431.2996732717602          0.00156597242224535       6798.666031408097         6777.406276571392         50.28196870132589          
58127.00918471532         431.5445114414133          0.00159515237123186       6798.539782276077         6776.884911385503         51.22793202282549          
58127.00932533635         431.7398585832088          0.001618305454155074      6798.436951889711         6776.468608182207         51.99086703714014          
58127.00947964296         431.9515930873649          0.001643269502594587      6798.323280333706         6776.016980964472         52.82711710232575          
58127.00967233773         432.2118192674507          0.001673758814187428      6798.180233728069         6775.461231684714         53.86994908894086          
58127.00985334306         432.4516728893705          0.001701666995019764      6798.044895257227         6774.948180915872         54.84794174385634          
58127.01001973324         432.6679346045239          0.00172666344901735       6797.91977630091          6774.484801401314         55.74551988141327          
58127.01018612989         432.8798827053042          0.001751000416628946      6797.794082036666         6774.029812742493         56.64164640671717          
58127.01036559686         433.1033327324185          0.001776475869250538      6797.657994324729         6773.549072453995         57.60637207798473          
58127.01054848102         433.3252163601046          0.001801575356840889      6797.518889400579         6773.070450068783         58.58740149513604          
58127.01071835641         433.5257616446461          0.001824079060941584      6797.389410034532         6772.636609715474         59.49662476725938          
58127.01081257327         433.6345821880877          0.001836212744785063      6797.3175259199           6772.400636486947         59.99999997064138          
58127.01135051013         434.2206397529662          0.001900484273099752      6796.907073477578         6771.121249033672         62.85996166303397          
58127.01188446239         434.7374922073295          0.001955251732843373      6796.501878602634         6769.975999223432         65.66943940459908          
58127.01228371616         435.0774930641737          0.001989865069190651      6796.20212030756          6769.208783001846         67.74484693449902          
58127.01264988826         435.3517959963565          0.002016564895631407      6795.930734590306         6768.577024416972         69.62316481344745          
58127.01301803458         435.5894228083935          0.002038332502791385      6795.662177808691         6768.014893975907         71.47998238184569          
58127.01332842506         435.7587713594558          0.002052595932141513      6795.439695035504         6767.600254407804         73.01336250525813          
58127.01364762334         435.9023072921336          0.002063254144903417      6795.215173781826         6767.232397615106         74.5499393862786           
58127.01397596334         436.016629121661           0.002069880391128747      6794.989233851874         6766.917708605369         76.07388531864314          
58127.01429469511         436.0944876224312          0.002072027305493335      6794.775213833947         6766.67551761628          77.47873249384676          
58127.01463592906         436.1409377416358          0.002069576282260777      6794.552342431469         6766.486737588649         78.86967865417907          
58127.01499971199         436.1477281481475          0.002061493081741207      6794.322369579413         6766.367102050008         80.1692346451339           
58127.01537048427         436.1087004708634          0.002047402596514791      6794.096578906222         6766.332920339612         81.21393047724997          
